"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"osa-miR156a_st",0.0693529411764704,0.626666666666667,0.856110841752421,0.399103185914941,0.875073828390894,-5.55706137091847
"U83A_x_st",-0.0928823529411762,6.68851851851852,-0.855848179835436,0.39924604131598,0.875073828390894,-5.55727131487372
"rno-miR-23b_st",0.0670588235294147,12.0322222222222,0.855729265820485,0.399310726402915,0.875073828390894,-5.55736634202957
"tni-miR-1_st",0.161470588235294,1.18666666666667,0.855712304422644,0.39931995335458,0.875073828390894,-5.55737989528783
"cfa-miR-340_st",-0.0944705882352938,0.928518518518519,-0.855672757983783,0.399341467028543,0.875073828390894,-5.55741149447345
"ptr-miR-411_st",-0.310529411764706,2.87148148148148,-0.855668910887027,0.399343559928395,0.875073828390894,-5.55741456838383
"sme-miR-2a-1-star_st",0.0838823529411763,1.11481481481481,0.855629745778555,0.399364866949555,0.875073828390894,-5.55744586137656
"hp_rno-mir-18a_st",0.0894117647058825,1.2462962962963,0.855518635854391,0.399425318080687,0.875073828390894,-5.55753463103286
"hp_mmu-mir-871_st",-0.0825882352941174,0.79,-0.855451233047919,0.399461992481643,0.875073828390894,-5.55758847620934
"vvi-miR166a_st",-0.0827058823529413,0.745925925925926,-0.855354445297226,0.399514659196129,0.875073828390894,-5.55766578872311
"ENSG00000206903_x_st",0.118235294117648,1.67444444444444,0.855332464014564,0.399526620847047,0.875073828390894,-5.55768334586848
"ENSG00000252291_st",0.0998235294117649,0.841851851851852,0.855225824835218,0.399584654378082,0.875073828390894,-5.55776851589387
"hsa-miR-744_st",0.119235294117649,6.72407407407407,0.855178080343231,0.399610638881035,0.875073828390894,-5.55780664496071
"mdv1-miR-M5-star_st",-0.0669411764705883,0.771851851851852,-0.855147513391963,0.39962727522681,0.875073828390894,-5.55783105487266
"cbr-miR-238_st",0.0792941176470587,1.17592592592593,0.855146114900832,0.399628036379035,0.875073828390894,-5.5578321716488
"hp_hsa-mir-218-1_st",0.0914705882352942,0.882592592592593,0.855064474518591,0.399672472116816,0.875078588098846,-5.55789736322628
"mmu-miR-486_st",0.262117647058822,5.67703703703704,0.854893991251659,0.399765273910167,0.875108032897978,-5.55803347874559
"gga-miR-23b_st",0.0630588235294098,12.0237037037037,0.854884487994078,0.399770447367042,0.875108032897978,-5.55804106548447
"tca-miR-307_st",-0.0944705882352944,0.738518518518518,-0.854771149801297,0.399832150558799,0.875150582396458,-5.5581315406525
"rno-miR-675_st",0.086470588235294,0.894444444444444,0.854662269619878,0.399891432417212,0.87518782365826,-5.5582184464085
"osa-miR395j_st",0.0794117647058824,0.75,0.854352576164809,0.400060081272394,0.875464388377319,-5.55846557961858
"osa-miR1430_st",-0.0877647058823532,0.670740740740741,-0.85418508708765,0.400151309074459,0.875549498039983,-5.55859919942178
"ENSG00000252682_x_st",-0.088235294117647,1.65444444444444,-0.854125912490781,0.400183543390824,0.875549498039983,-5.55864640193572
"bfl-miR-252b_st",0.103235294117647,1.11,0.853968402974473,0.400269351931189,0.875572458951536,-5.55877202937133
"fru-miR-27b_st",-0.116882352941179,9.77740740740741,-0.853876550055102,0.400319397237585,0.875572458951536,-5.55884527988372
"ENSG00000252709_st",-0.0966470588235292,0.848148148148148,-0.853864403094803,0.400326015705435,0.875572458951536,-5.55885496623669
"rno-miR-758_st",0.104058823529412,0.848518518518519,0.85332385397269,0.40062061278183,0.875572458951536,-5.55928588442648
"ath-miR170_st",-0.0733529411764707,0.664814814814815,-0.853245655767161,0.400663241845278,0.875572458951536,-5.55934820156144
"bmo-miR-2824_st",-0.107235294117647,1.40148148148148,-0.85323713143644,0.40066788898268,0.875572458951536,-5.5593549943813
"ppy-miR-519d_st",0.0868235294117647,0.736666666666667,0.853235240819161,0.40066891967916,0.875572458951536,-5.55935650095687
"cin-miR-4037-5p_st",0.0777058823529413,0.685925925925926,0.853201911440642,0.400687089932071,0.875572458951536,-5.55938305960913
"eca-miR-615-3p_st",0.165705882352941,1.55333333333333,0.853175633973651,0.400701416046061,0.875572458951536,-5.55940399822457
"hp_rno-mir-376a_st",0.0679411764705883,0.757777777777778,0.853097018529721,0.40074427804178,0.875572458951536,-5.55946663754961
"hsv1-miR-H8-star_st",0.0744117647058821,0.961851851851852,0.85295574850188,0.400821307290372,0.875572458951536,-5.55957918515633
"dvi-miR-282_st",-0.076294117647059,0.692962962962963,-0.852939769105248,0.400830020845962,0.875572458951536,-5.55959191457963
"ptr-miR-504_st",0.121470588235294,1.23148148148148,0.852845404382577,0.400881480317906,0.875572458951536,-5.55966708230963
"ppt-miR166a_st",0.223176470588235,2.51851851851852,0.852805169260818,0.400903422819476,0.875572458951536,-5.55969912984653
"sme-miR-79-3p_st",-0.0741176470588235,0.863333333333333,-0.852638940067416,0.400994085114011,0.875572458951536,-5.55983151731636
"ptr-miR-520d_st",0.08,0.70037037037037,0.852631181404911,0.400998317047043,0.875572458951536,-5.55983769583718
"bta-miR-301a_st",0.224529411764706,1.61037037037037,0.852597737456745,0.401016559245133,0.875572458951536,-5.5598643279281
"bta-miR-212_st",0.0810588235294118,0.847037037037037,0.852406513483055,0.401120873568971,0.875572458951536,-5.56001658445125
"ENSG00000238819_st",-0.0696470588235297,0.788148148148148,-0.852381559353521,0.401134487527567,0.875572458951536,-5.56003645106647
"crm-miR-55-star_st",-0.0852941176470589,0.956296296296296,-0.85220166457458,0.40123263945437,0.875572458951536,-5.5601796535744
"hp_mmu-mir-761_st",0.0979999999999999,1.0037037037037,0.852168494145094,0.401250739145596,0.875572458951536,-5.5602060552677
"mmu-miR-666-5p_st",0.09535294117647,0.987037037037037,0.852060173621382,0.401309848640774,0.875572458951536,-5.56029226520219
"mml-miR-553_st",-0.0778235294117647,0.85,-0.852017441755111,0.401333168534741,0.875572458951536,-5.56032627170662
"mmu-miR-1982-star_st",0.369235294117647,3.81148148148148,0.851840303905122,0.40142984641952,0.875572458951536,-5.56046722280494
"bta-miR-9-star_st",-0.0719999999999998,0.706666666666667,-0.851821795779791,0.401439948590966,0.875572458951536,-5.56048194838216
"dsi-miR-315_st",-0.075823529411765,0.639259259259259,-0.851534956807499,0.40159653262183,0.875572458951536,-5.56071012670089
"oan-miR-1422m-star_st",-0.0745294117647056,0.744074074074074,-0.851513558171668,0.401608215583102,0.875572458951536,-5.56072714624476
"cfa-miR-489_st",0.240705882352945,10.5855555555556,0.851334505047651,0.401705981204363,0.875572458951536,-5.56086954144369
"oan-miR-1365-star_st",-0.0681176470588235,0.591111111111111,-0.851250733927738,0.40175172662556,0.875572458951536,-5.56093615219248
"ppt-miR533a_st",-0.088058823529412,0.775555555555556,-0.85099258197049,0.401892717995065,0.875572458951536,-5.56114138314207
"ppt-miR160g_st",0.079058823529412,0.757777777777778,0.850991103972104,0.401893525303522,0.875572458951536,-5.56114255798197
"ppy-miR-455-5p_st",-0.208294117647059,2.72185185185185,-0.850864448435435,0.401962710570778,0.875572458951536,-5.56124322749307
"bmo-miR-3238_st",-0.0646470588235294,0.706296296296296,-0.850857029088335,0.401966763603784,0.875572458951536,-5.56124912416658
"mtr-miR390_st",-0.0911176470588231,0.85962962962963,-0.850854232240675,0.401968291469438,0.875572458951536,-5.56125134700419
"ENSG00000251822_st",0.0754117647058823,0.781481481481481,0.850776085422282,0.402010983101176,0.875572458951536,-5.5613134525913
"hsv2-miR-H6_st",0.320176470588236,4.88259259259259,0.850730818222246,0.40203571389758,0.875572458951536,-5.56134942530379
"hp_hsa-mir-591_st",-0.0701176470588234,1.09185185185185,-0.850695553845866,0.402054980524863,0.875572458951536,-5.56137744776682
"osa-miR395t_st",0.0999411764705883,0.745925925925926,0.85068228172162,0.402062231876698,0.875572458951536,-5.56138799403494
"mmu-miR-323-5p_st",0.142,1.17740740740741,0.850675289913438,0.402066051951111,0.875572458951536,-5.56139354978856
"hsa-miR-3185_st",0.205882352941176,9.13962962962963,0.850634156428567,0.402088526283344,0.875572458951536,-5.56142623395017
"dre-miR-190_st",-0.0791764705882353,0.738148148148148,-0.850598946321638,0.402107764857038,0.875572458951536,-5.56145421028007
"ptr-miR-1206_st",-0.0540588235294116,0.632962962962963,-0.850587751314812,0.402113881857913,0.875572458951536,-5.5614631050874
"ath-miR854b_st",-0.257705882352941,4.58074074074074,-0.850474235573278,0.402175910678399,0.875572458951536,-5.56155329088171
